CC[C@H]1CCCCN1C(=O)[C@@H](C)OC(=O)c1c(C)oc(-n2cccc2)c1C#N,0.631486,0.53506
O[C@@H](CNC1CC1)CN1CCc2sccc2C1,0.825901,1.116781
N#CCCNC(=O)[C@@]1(O)CCSC1,1.463943,0.964848
COC[C@H]1CN(c2ccc(OCC[C@@H](C)O)cc2)C(=O)O1,0.166669,0.161458
N#Cc1c(-c2ccccc2OCC(N)=O)[nH]c(C(N)=O)c1N,0.31382,0.338862
C=CCC(=O)Cc1cncc(Br)c1,0.697658,0.296321
COc1ccc(Br)cc1C(=O)NC(=S)Nc1ccc(C)cc1,0.955649,0.77315
Cc1cccc(NC(=O)C2CCN(S(=O)(=O)c3cc(Cl)ccc3Cl)CC2)c1C,1.057643,0.972375
C[C@H]1CN(C(=O)N2CCO[C@H](CC(=O)O)C2)C[C@@H](C)O1,1.434185,1.050282
CCN(CC)C(=O)c1ccccc1NC(=O)CCc1nc(-c2cccnc2)no1,0.627571,0.774036
CC(C)n1cc(NCc2cc(Br)c(Cl)s2)cn1,1.376982,1.177825
CC[C@@]1(C)[C@@H](Br)C[C@@H]1Oc1ccc(Cl)c2ccccc12,0.279264,0.279003
COc1ccc(C[C@@H](Oc2cc(C)cc(C)c2)C(=O)O)c(OC)c1,0.711692,0.680995
Cc1cc(C)c(C2=C(O)[C@@H]3[C@H]4O[C@H](C[C@H]4c4cccc(C#N)c4)[C@@H]3C2=O)c(C)c1,0.455866,0.330133
CC[C@@H](C(=O)O)N1CCc2cc(OC)ccc2C1,0.16913,0.157955
O=C(COC(=O)C1CCC1)NC(=O)c1ccccc1,0.992393,0.627812
COC(=O)CCCNC(=O)[C@H](N)C(C)C,1.301915,0.856191
C[C@H]1CCN(C(=O)CCc2nc(-c3ncccn3)no2)CC1(C)C,0.738219,0.671294
N#C[C@@H](NC(=O)Cn1cc2ccccc2n1)C1CCCCC1,0.257342,0.253487
C[C@@](N)(CNC1CCC1)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,0.555991,0.71143
COCCCNC(=O)C(=O)NC[C@@H]1COc2ccccc2O1,0.318988,0.25145
C[C@H]1CCC[C@](CBr)(NC(=O)[C@@]2(C)CCCO2)C1,1.290137,0.801881
CC(C)(C)OC(=O)N[C@H]1CC[C@H](c2cc(N(COCC[Si](C)(C)C)COCC[Si](C)(C)C)n3ncc(I)c3n2)CC1,0.678198,0.678135
CC[C@@](C)(OC)c1nc(O)c(-c2cccc(Br)c2)c(=O)[nH]1,0.615925,0.461614
C[C@H]1CN(C(=O)N[C@@H](CCC(=O)O)Cc2ccccc2)C[C@H](C)S1(=O)=O,0.461894,0.50837
CC(C)Cc1ccc(S(=O)(=O)N[C@H]2CCNC[C@@H]2C)cc1,1.223427,1.244027
CC(C)=Cc1ncnc(C(C)C)c1N(C)N,1.401476,1.182841
COc1cc(Br)cc(C)c1NC(=O)c1ccc(Br)c(N)c1,0.30259,0.22681
C(=N\Nc1nc2c(s1)CCCC2)\c1ccncc1,1.214458,1.161366
CC(=O)Nc1ccc(F)c(NC(=O)N2CCCCCCC2)c1,0.148741,0.135658
CCc1ccc(NC(=O)N2CCCN(c3nc(Cc4ccccc4)nc4c3c(C)nn4-c3ccccc3)CC2)cc1,0.772328,0.525635
COc1ccccc1CNC1CN(C(c2ccccc2)c2ccccc2)C1,0.623094,0.695003
O=C(NCc1ccccc1-n1cccn1)N1CCCN(C2CCCC2)CC1,0.782785,0.826777
C[C@@H](Nc1c(F)c(N)c(N)c(-c2cc(C3CC3)[nH]n2)c1F)c1ccc(F)cc1,0.57433,0.086195
O=C(O)c1ccn2c(-c3cccc(Br)c3)ncc2c1,0.327905,0.301883
CNS(=O)(=O)c1ccc(/C=C/C(=O)NCc2ccc(CN3CCCCC3)cc2)cc1,0.841453,0.922035
CCCC/C(=C/C(C)=C(/O)CC)CC,1.129382,0.759582
CCN[C@@H]1CCCc2c1cnn2CCO,1.305323,1.251073
Cc1ccc(CCC(=O)NCCc2nc3ccccc3s2)c(C)c1,1.426481,1.129864
CO/C(C)=N/C(=N)c1cnc2ccc(/C(C=N)=C(/N)c3ccc(F)cc3)cn12,0.443666,0.39748
CCS(=O)(=O)N1CCC(NC(=O)N2CC[C@H](C)[C@H](n3ccnc3)C2)CC1,0.638451,0.740163
CCN(C[C@@H](C)C#N)c1ccc(C(=O)O)cc1,0.582642,1.023847
O=C1CCC(=O)N1[C@@H]1CCN2CCCc3cccc1c32,1.468431,0.710178
CCOCC[C@@H](NC)c1cccc(OC2CC2)c1,0.880028,1.026203
Cc1cccc(CCC(=O)N2CCN(c3ccc(F)cc3)CC2)c1,0.42292,0.399965
CC(C)[C@@H](NC(=O)[C@@H](C)n1cnc2ccccc2c1=O)C(=O)O,0.671159,0.298682
CCn1cc(Oc2ccc(CNC3CC3)cn2)cn1,1.072333,0.830134
CCCNC(=O)c1cccc(CNC(=O)NCc2ccc(N(C)C)cc2)c1,0.699926,1.282171
COc1ccccc1S(=O)(=O)NCc1ccnc(-c2cccnc2)c1,0.58944,0.556666
CC(C)(C)[C@@H](CN)Sc1cccc(F)c1,0.52857,0.51961
CCCCCNC(=O)CCN(C(C)=O)c1ccc(F)cc1F,0.64946,0.343961
C=C(N1CCC(CNCCC(=O)c2ccc3ccccc3c2)CC1)C(F)(F)F,0.640457,0.729594
Cc1cnc(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)C2CCOCC2)cn1,0.457653,0.251371
COc1ccc(NS(=O)(=O)c2cc(NC(=O)c3ccc(-n4cccn4)cc3)ccc2OC)cc1,1.27226,1.205278
Cc1cc(C)c2cc(C(=O)N(Cc3ccco3)Cc3cccs3)[nH]c2c1,0.300809,0.339859
CN(Cc1cccc(C(=O)O)c1)[C@@H](CCO)c1ccccc1,0.915994,1.028205
CCCC[C@@H](CC)C(=O)N[C@@H]1CCc2[nH]c3c(C)cccc3c2C1,0.349278,0.321179
CCCN[C@H]1CC[C@](C)(c2ccc(OC)c(F)c2)C1,0.808994,0.51335
COc1ccc(COCCCC(C)(C)/C(N)=N/O)cc1,0.16077,0.155766
Cc1cc(F)c(N)cc1S(=O)(=O)N[C@@H]1CCN2CCC[C@@H]12,1.236065,1.39065
C#CCn1c(C2CC2)nc(-c2ccc(C)c(Cl)c2)c1N,0.987546,1.123317
CCOc1ccc(C(=O)Nc2cnn(Cc3ccccc3)c2)cc1OCC,1.487025,1.393079
Cc1nc(C)c(CNC(=O)c2ccc(N3CCC(O)CC3)cc2)s1,0.731515,0.828882
O=C(NC[C@H]1CCc2ccccc21)N1CCC[C@H](C(=O)N2CCCC2)C1,0.167681,0.155375
CC(C)c1cccc2sc3ccncc3c12,0.168483,0.150799
COc1ccc(C[C@@H](C)CN[C@H](Cc2ccccc2)C(=O)O)cc1F,0.411029,0.183952
CCOC(=O)c1csc(-n2nc(-c3ccc(Br)cc3)cc2NC(C)=O)n1,0.587593,0.456002
C[C@H]1CN(c2nccnc2C#N)CCN1C(=O)c1ccc(C2CCCCC2)cc1,1.007211,0.812207
O=C(NCCCO)Nc1cc(Cl)ccc1N1CCOCC1,0.890906,0.78606
CN(C(=O)c1cccc(Cn2ccnc2)c1)c1cc(F)ccc1F,0.632656,1.075868
O=C(Cc1ccccc1Cl)c1cc(F)c(F)cc1Cl,0.561023,0.497572
CC1=C(C(=O)Nc2ccccc2)[C@@H](c2cnn(C)c2C)n2c(s/c(=C/c3ccoc3)c2=O)=N1,1.314323,0.735681
CCO[C@@H](CC)C(=O)CC1CCCC1,0.865865,0.509739
CCSc1ccc([C@@H](NN)C2=CCCCC2)cc1,0.523157,0.336803
COC(=O)C1(c2ccccc2)CCN(c2nc3c(c(N[C@H]4CCC(=O)N(C)C4)n2)OCC3)CC1,1.355175,0.642385
CCc1ccc(C(=O)CSc2n[nH]c(-c3ccc(C)cc3)n2)s1,1.099624,0.604127
CCOCCCNC(=O)[C@H]1CCCN(c2ncc(-c3ccc(F)cc3)cn2)C1,0.718491,0.440942
Cc1cc(Nc2cccc([C@@]3(c4ccsc4)CC[C@H](Sc4ccccc4Cl)CN3)n2)n(C)n1,1.033863,0.895349
CCC[C@@H](NC(=O)N1C(=O)C(CC)(CC)[C@@H]1Oc1ccc(CNC(=O)Cc2ccncc2)cc1)c1ccc(C)cc1,0.776541,0.579986
CCN1CCN(C2=C(c3ccc(Cl)cc3)C(=O)N(c3ccccc3Cl)C2=O)CC1,0.785597,1.00575
CCC1(COCc2cccc(Oc3cccc(COCC4(CC)COC4)c3COCC3(CC)COC3)c2COCC2(CC)COC2)COC1,0.709508,0.599956
Cc1ccc(C)c(OCc2cccc(C(=O)O/N=C(\N)c3ccccc3)c2)c1,0.733977,0.798888
COc1ccc(NC(=O)C(=O)NC[C@H](c2ccc(N(C)C)cc2)N2CCCC2)cc1,0.828424,0.73933
COc1ccc2c(c1)CCN(C1CCN([C@]34C=C(Oc5cc(C)c6nc(C7CC7)[nH]c6c5)N=C[C@H]3C4)CC1)C(=O)N2,0.951399,0.879465
CCc1ccc(C(=O)Nc2ccc(C)cc2C#CCO)s1,1.289888,1.062664
COc1ccc(NC(=O)CCc2nc(-c3ccc(C)c(F)c3)no2)c(Cl)c1,0.636526,0.591525
CC(C)(C)OC(=O)Oc1ccc([C@@H](N)C[C@@H](O)CO[C@@H](CN)[C@@H](Cc2ccccc2)OC(N)=O)cc1,1.284463,1.051381
O=C(NNC(=O)[C@@H]1COc2ccccc2O1)c1cc(S(=O)(=O)NC2CC2)ccc1Br,1.061924,0.9453
CC1(C)C2=N[C@@H](c3ccc(F)cc3)[C@@H](Nc3ccc(S(C)(=O)=O)cc3)N2CCN1C(=O)CN,1.120416,0.877975
Cc1nnc(-c2cc(CCC(C)C)n(-c3cccc(C(=O)NC[C@H]4COC(C)(C)O4)c3)n2)o1,0.7049,0.627788
CC1=C[C@@H](C)[C@@H]2CO[C@H](Cc3ccc(OC(=O)NC4CCCCC4)cc3)[C@H]1[C@@H]2C,0.170077,0.18037
O=C1CCC[C@H](NC2CCC2)C1,0.891231,0.659089
O=C(Nc1nnc(NCCc2c[nH]c3ccccc23)s1)c1c(Cl)cccc1Cl,0.988089,1.088384
Cc1cccc(NC(=O)C(=O)Nc2ccc(C#N)cc2)c1,0.243743,0.138042
O=C(O)c1cc(S(=O)(=O)NC[C@H]2C[C@H](O)C2)ccc1O,0.763061,0.745836
CC(C)Cn1c(C(=O)O)cc2scc(Br)c21,0.239882,0.239306
CCOc1ccc(N2CN(CCC3=CCCCC3)Cn3c2nc(C)c(CC)c3=O)cc1,0.598143,0.444517
Fc1ccc([C@H](NCc2nnc(-c3ccco3)o2)C2CCC2)cc1,0.635293,0.876247
N#Cc1cccc(Cn2ccc3ccc(F)cc32)c1,0.501875,0.594281
CCOc1ccc(NC(=O)[C@@](C)(OCC)C2CC2)c2cccnc12,0.345236,0.329761
C[C@H](c1cc(Cl)ccc1C(F)(F)F)N1CCNc2nnc(-c3nc(C4CCN(C)CC4)no3)cc21,0.853914,0.78492
C[C@@]1(Cc2ccc(F)c(Br)c2)CCC(=O)C1,0.591371,0.354256
Cc1nc(CCn2cnc3c2c(=O)[nH]c(=O)n3C)no1,0.326758,0.281893
C=C(C)[C@@H]1CC[C@@]2(COC(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)CC[C@@]3(C)[C@@H](CC[C@@H]4[C@]3(C)CC[C@@H]3[C@H](C)[C@@H](O)CC[C@@]43C)[C@H]12,0.215089,0.334223
COc1cc(Br)cc(CC(=O)C(=O)O)c1O,1.224949,0.797109
COc1ccccc1NC(=O)c1ccc(NC(=O)COC(=O)Cc2cccs2)cc1,1.39662,1.174838
CC[C@@H](c1ccccn1)[C@@H](N1CCC(Nc2nc3c(Cc4ccccn4)cccc3[nH]2)CC1)N(C)C(=O)c1ccccc1,0.708297,0.70842
CCCCCCNS(=O)(=O)c1cccc(C#CCCO)c1,0.274933,0.227025
CC(C)(C)OC(=O)N1CCO[C@H](c2ncc(Br)cc2F)C1,0.672395,0.560324
COCCCNS(=O)(=O)c1cc(N2CCCCS2(=O)=O)ccc1OC,0.504797,0.677797
CCc1cnc(Nc2nc(Sc3cccc(N)c3)nc(N3CCN(C)CC3)n2)s1,1.080678,0.889155
CCOC(=O)C1CCN(C(=O)C(=O)NC2CCCCCCCCCCC2)CC1,0.381744,0.323545
C[C@H]1C(=O)CCN([C@H]2CCCS(=O)(=O)C2)[C@@H]1C,0.758886,0.423554
O=C(NCCOCCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H]1OCc1ccccc1)OCc1ccccc1,0.13599,0.135307
CCC[C@@H](O)CN(CCOC)Cc1c(C)nn(-c2ccccc2)c1Oc1ccc(C)cc1,1.321198,1.089082
CC(C)(C)n1c(-c2ccccc2-n2cncn2)nc2cc(-c3cnc(N)[nH]c3=O)ccc21,0.475169,0.548294
C[C@@H](NCCCN(C)Cc1ccccc1)c1cccnc1,0.708992,0.892665
CC(C)N(C)C(=O)CSCc1coc(-c2ccc(F)cc2)n1,0.360259,0.598696
COC(=O)c1c(C2=CC=CC2)csc1NC(=O)[C@H]1CC=CC[C@@H]1C(=O)O,0.549976,0.628286
CCN[C@@H](c1cccc(OC)c1)[C@H]1CCc2ccccc21,0.911131,0.813706
CC(C)N(Cc1ccccn1)C(=O)c1ccccc1F,0.675281,0.528784
Cc1nc(NC(=O)C2=N[C@H](C)C(=O)N(c3ccccc3)N2)sc1C,0.848702,0.694573
COCCOCO[C@H]1CC[C@H]2[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H]3[C@@H](C[C@@H]12)OC(=O)[C@@H]3[C@@H](C)CCC1OCCO1,1.475439,0.78004
CO[C@@H](c1nc(Cl)c(C)c(-c2ccccc2)n1)C(C)(C)C,0.692491,0.647989
O=C(O)c1ccccc1OCCCCN1CCCCC1,1.144734,0.01005
CCO[C@@H]([C@H]1CC[C@H]2[C@@H](C[C@@H]3[C@H]4CC[C@H]5C(C)(C)[C@@H](O[C@H]6CN(C7CN(CC(F)F)C7)CCO6)CC[C@]56C[C@]46CC[C@]23C)O1)C(C)(C)O,0.804525,0.909095
CCCn1ccnc1C(=O)CN,1.03353,1.074304
Cc1cc(NS(=O)(=O)N2CCC[C@H](C)C2)ccc1C(=O)O,0.809003,0.772034
Cc1cc(-n2c(C)cc(C(=O)CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)c2C)no1,0.492209,1.015167
CC1=C(C(=O)N(C)C)[C@H](c2c(F)cccc2F)NC(=S)N1c1ccccc1,0.434505,0.382288
COc1cccc(NC(=O)NCc2cccnc2-c2ccco2)c1,0.753889,0.77406
c1csc(CC2(CNC3CC3)CCC2)c1,1.333759,1.330597
COc1ccccc1N1CCN([C@@H](CN)C(F)(F)F)CC1,1.016783,0.748468
COc1cc([C@H]2C(C#N)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(I)c1O,0.96169,0.661684
Fc1cc(C2CCC3(CC2)OCCO3)cc(F)c1C(F)(F)F,0.780322,0.448294
COc1ccc2oc(C(=O)Nc3ccc(N4CCCC4=O)cc3)c(C)c2c1,0.476272,0.493713
CCO[C@@H](C(C)C)[C@@H](NC)c1ccco1,1.152977,1.254412
CCOC(=O)C1=C(C)NC(=O)N[C@@H]1c1ccc(N2CCC(c3ccccc3)=N2)cc1,0.334437,0.241566
COc1cc(F)cc2cc(C#N)sc12,0.236163,0.226595
O=C(Nc1ccccc1C(=O)OCC(=O)N1CCc2ccccc2C1)c1ccccc1,1.27967,0.87751
CC(C(=O)Nc1cc(F)c(Br)cc1C)=C1CNC1,0.896834,0.719134
NNC(=S)NNC(=O)c1cn2cc(F)ccc2n1,0.878046,0.754356
CO/C=C1/c2c(OC)cc(C(=O)OC)cc2N2C[C@H]3[C@H](N3C(=O)OC)[C@]1(OC)O2,0.686911,0.477227
Cc1ccccc1OCC[C@@H](O)C1CCNCC1,0.148582,0.147522
CCN(C[C@H]1CCCN1)[C@H]1C[C@H](C)O[C@H](C)C1,0.371772,0.431596
CC[C@@H](C)[C@@H](NS(C)(=O)=O)C(=O)N1CCOC2(CCCCCC2)C1,1.240606,0.693094
O=C(/C=C/c1cc(Cl)cc(Cl)c1)NC1COC1,0.657009,0.615566
CCOC(=O)C1=C(CN2CCN(C(=O)NC(C)(C)C)[C@H](C)C2)N(CC)C(=O)N[C@@H]1c1ccccc1OC,0.885981,0.838578
COc1cc(CCC(=O)Nc2cccc(Cl)c2OC)cc(OC)c1,1.138218,0.933163
Cc1cc(Nc2nc(N)nc(Nc3ccc(C#N)cc3)n2)c(Cl)cc1F,0.693192,0.55833
COc1cc(C)ccc1-c1cc2c3c(cc(O)c2cc1OC)C(C)(C)C(C)(C)c1ccccc1-3,0.249258,0.250107
CCOc1ccc(-n2ncc(C(=O)Nc3ccc4c(c3)OCCO4)c2C)nn1,0.822986,0.749437
Cc1ccnc(-c2cn(C)nc2C(=O)N2CC(F)(F)C[C@@H](C)[C@H]2CNc2ncc(C(F)(F)F)cn2)n1,1.392184,0.841828
CO[C@H]1C[C@@H]2CN(Cc3ccccc3)[C@H]1[C@H]2Br,0.691882,0.877783
Cc1ccc([C@H]2CC=NN2)cn1,0.51141,0.68271
Nc1ccc(C(=O)O[C@@H]2CC[C@@H]3CCCC[C@H]3C2)cc1,0.153286,0.152311
COc1cc(NS(=O)(=O)c2cc[nH]c2)ccc1N,1.329862,0.830171
COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3NC(=O)OC(C)(C)C)n3cnnc3c2C(N)=O)cc(OC)c1,0.655994,0.385762
COc1cccc(C[C@@H](O)CCCN)c1OC,0.439937,0.255267
CCCCCCc1c(Br)nnn1C(=O)n1ccnn1,0.695997,0.92068
Cc1ccc2c(ccn2Cc2cccc(C(F)(F)F)c2)c1,0.601314,0.704026
CCOC(=O)CCCCCCN1CCCc2nc(-c3ccc(C)nc3)c(-c3ccc(C)cc3)nc21,0.606586,0.50229
CCOC(=O)c1c(NC(=O)c2sc(NC(=O)c3ccco3)cc2C)sc(C)c1CC,1.248887,0.972134
CCC[C@@H](c1nnnn1Cc1cccs1)N1CCN(c2cc(Cl)ccc2C)CC1,1.05937,1.094932
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2[C@H](O)C[C@@]2(C)[C@H]1CC[C@@]2(C)O,0.7658,0.422136
CC[C@@H](N=C(N)N)N1CCN(C(=O)CC2=C(C(=O)O)[C@@H](c3c(Cl)cccc3Cl)C(C(=O)O)=C(CCc3ccccc3)N2)CC1,0.424766,0.335404
CCCNC(=O)c1ccc(S(=O)(=O)NCCc2c[nH]c3ccccc23)cc1,0.826947,0.935147
CCOC(=O)c1ccc(S(=O)(=O)N2CCN(c3cccc(OC)c3)CC2)c(Br)c1,0.838712,1.020395
CCC[C@@H](C)N(C)c1nnc(C)c(C)c1C#N,0.355954,0.322495
O=C(N[C@H]1CCSC1)N1CCC[C@H](n2cncn2)C1,0.653267,0.030143
Cn1cc(CN2CC[C@H](n3cccn3)C2)ncc1=O,0.964549,1.25247
O=C(Cc1ccc2cc[nH]c2c1)NCCO,0.456474,0.378665
CCc1ccc2c(CCl)nc(C)n2c1,0.441519,0.422084
CC(C)(C)OC(=O)Nc1ccc(N[C@H]2CCCC[C@@H]2C(C)(C)C)cn1,0.319016,0.281901
CO[C@@H](C(=O)c1c(C)ccnc1N)C(C)C,0.844855,0.517977
Cc1cc(OC[C@@H](N)C#N)ccc1C(C)C,0.199082,0.153196
C[C@H](NCc1nc(-c2ccccc2)no1)c1ccc(Cl)cc1Cl,0.606311,0.838539
CCOC(=O)O[C@H]1CN(C2c3ccccc3-c3ccccc32)C(=O)C1=O,0.229376,0.227542
CCC[C@@H](C#N)C(=O)c1cc(C)c(C)s1,0.460536,0.448333
COc1cc(CC2=C(C)C(=O)c3cc(OC)c(O)cc3C2=O)cc(OC)c1,0.486253,0.466661
COc1ccccc1C(=O)Oc1ccccc1/C(C)=N/NC(=O)C(=O)Nc1ccc(C)cc1C,0.516312,0.500544
NC(=O)c1ccc(C(=O)NCCCC2CCCC2)cc1,0.589513,0.561363
Cc1nn(-c2ccc(Br)cc2)cc1C(=O)N(C1CC1)[C@@H](C)C(=O)O,0.400322,0.339768
CCC[C@@H](CNC(=O)NCCOC1CCCC1)C(=O)O,1.287074,1.052366
C=CCOC[C@H](O)CN(Cc1cccc(F)c1)C[C@H]1CC(c2ccccc2C)=NO1,0.939594,0.882988
CC(C)N(C(=O)CSc1nnc2[nH]c(=O)cnn12)c1ccccc1,0.71719,0.724335
CCCOc1ccc([C@@H](C)Nc2cccc(CC)c2)cc1,0.655117,0.499575
OC1(c2cccc(Sc3ccc4c(-c5ccccc5)cc5nccn5c4c3)c2)CCOCC1,0.204726,0.104845
COc1cccc([C@@H](N)c2nc(-c3ccccc3)n[nH]2)c1,0.161715,0.15238
Cc1c(N)cc(S(=O)(=O)N(C)C)cc1F,0.390746,0.306826
C[C@@H](NC(=O)O)C(=O)N1C[C@@H]2C[C@H]1CN2CCCOc1ccc(C(=O)C2CC2)cc1,0.427161,0.374858
O=C1C[C@@H](C(F)(F)F)C[C@@H](C(=O)O)C1,0.79733,0.455764
Cc1ccc(NC(=O)NC[C@H]2CCCN(C(=O)[C@H]3C[C@@H]3C3CC3)C2)cc1,0.165132,0.163029
C[C@@H]1O[C@@H](Oc2c(O)ccc3ccccc23)[C@H](F)[C@H](O)[C@H]1N,0.24172,0.220472
O=C(c1ccc2nc[nH]c2c1)N1CC(n2cc(N3CCCC3=O)cn2)C1,0.743102,0.693972
CN1CCNC[C@@H]1[C@@H](N)c1coc2ccccc12,0.834221,1.223279
COc1ccc(C(=O)Nc2cc(C(=O)Nc3ccccc3C)ccc2Cl)cc1,0.815514,0.655506
Cc1ncccc1C(=O)N[C@@H](CCC(N)=O)C(=O)O,0.171807,1.182603
COC(=O)c1ccc(-n2cc(C)cn2)c(NC(=O)NC[C@@](C)(O)C(=O)O)c1,0.253962,0.276348
CCCCc1cnccc1CS(=O)(=O)c1ccccc1,1.485891,0.694464
CC(C)CN(CC(=O)c1ccc(F)cc1)C1CCCC1,0.894958,0.569319
CN(C)CC[C@H]1Cc2ccc(Cl)cc2C1=O,0.377315,0.31958
Cc1cc(C)cc(C(=O)C[C@@H]2C[C@@H]3CC[C@H](C2)N3)c1,0.587352,0.695778
CCc1ccc([C@H]2COCCN2C(=O)N[C@H]2CC[C@H](C(=O)O)CC2)o1,1.371128,0.830268
O=C(O)c1ccc(OCc2nnsc2Cl)cc1,0.782726,0.271148
COc1cccc(N(C)c2cc(C)c(Br)cn2)c1,0.359008,0.356081
CCn1c(Oc2ccc3c(c2)NCC3)nnc1[C@@H](C)NS(=O)(=O)c1ccc(Br)c(Br)c1,1.110538,1.329513
CC(=O)NNC1=Nc2ccc([C@@H](C)C(C)C)cc2C(c2ccccc2)=NN1C,0.752016,0.749394
CCOc1ccc(NC2=C(c3ccc(C)cc3)C(=O)N(Cc3ccco3)C2=O)cc1,1.017265,1.188279
O=C(NCc1ccc(N2CCCCC2)nc1)c1ccccc1Cl,0.714104,0.692016
CCO[C@@H](C1CC1)[C@@H](Cc1ccccc1)NC,0.759933,1.076957
COc1ccc([C@@H](C)Nc2ccc(F)cc2F)cc1F,0.626994,0.697712
COc1cc(CNC(=O)[C@@H](OC(=O)CSc2ncccn2)c2cccc(C#N)c2)cc(OC)c1OC,0.999778,1.233311
CCCCc1nc2cnc3ccccc3c2n1CC(C)(C)O,0.621878,0.469847
Nc1cc(S(N)(=O)=O)ccc1NCc1cccc(F)c1,0.888536,1.027409
CC(=O)Nc1cc(F)cc2c1NC(=O)/C2=C\c1[nH]c2c(c1C)C(=O)N(CCN1CCOCC1)CC2,0.639273,0.730175
CC(C)=CCC[C@@H](C)CCC/C(C)=C/CC[C@@H](C)CCCC[C@@H](C)CC/C=C(\C)CCC[C@@H](C)CCCC(C)C,1.118205,0.777032
CCCN1C(=O)[C@](C)(C2CC2)NC(=O)[C@@H]1C(C)C,1.179929,0.911676
O=C(O)CS(=O)(=O)CCN[C@@H](c1ccc(Cl)cc1)C1CCC1,0.842048,0.817921
COCOc1c(OC)c(C)cc2c1[C@@H]1C3=Cc4c(O)c(C)c(O)c(O)c4[C@H](CNC(=O)[C@@H](C)NC(=O)OC(C)(C)C)N3[C@@H](C#N)[C@H](C2)N1C,0.923484,0.566996
N[C@@H](CCO)c1cc2cc(Br)ccc2[nH]1,0.189767,0.170986
Cc1ccc(NC(=O)C2CC2)cc1NC(=O)N[C@@H](C)CCc1ccccc1,0.268599,0.143766
C[C@H]1NCc2cccc(N)c2N[C@@H]1C,0.436095,0.293538
FC(F)c1cccc(-c2cccc3ccccc23)c1,0.378395,0.406022
Cc1ccc(CN(CCc2ccccc2)C(=O)CCn2cnc3c(cnn3C)c2=O)s1,1.014666,0.76503
CC[C@@]1(CCC=O)COC(C)(C)O1,0.776643,0.431263
CC(=O)Nc1ccc(CN2C(=O)[C@@H](Cc3ccccc3)ON=C2c2cccc(F)c2)cc1,0.572407,0.599411
CN1CCN(c2noc(-c3cc(F)ccc3N)n2)CC1,0.742819,0.8183
CCCN(C)c1ccc(C(=O)N[C@@](C)(CN)CC(C)C)cc1,0.783976,0.893268
CCOc1cn(-c2ccccc2)nc1C(=O)N1CCN(c2nc(C)cs2)CC1,0.752542,0.867519
CC(C)(C)CCOC(c1cccc(O)c1)=C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,0.625843,0.890294
COc1ccc2c(c1)C(N1CCN(C(=O)c3cccc(C#N)c3)[C@@H](C)C1)=Nc1ccccc1O2,0.910217,0.89249
CCOc1ccccc1-c1noc(-c2cc(C)[nH]n2)n1,0.751846,0.819062
CC(C)CNC(=O)CC[C@H]1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,1.245203,0.829486
CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C\c3ccccc3OCc3ccc(Br)cc3)c(=O)n2[C@@H]1c1ccc(Cl)cc1,0.457279,0.376004
NC(=O)c1ccc(NC(=O)Cc2ccc(N)cc2)cc1Cl,0.607115,0.820549
NS(=O)(=O)c1ccc(NC(=O)C(=O)Nc2cc(F)ccc2F)cc1,0.210739,0.179134
